"image_1","image_2","image_3","Артикул","Цвет","Материал верха","Материал подкладки","Размер","Стелька","Сегмент","Марка","Тип обуви","Кр. описание"
"/ss-2015/857811-01-05W.jpg","/ss-2015/857811-01-05W_02.jpg","/ss-2015/857811-01-05W_03.jpg","857811/01-05W","розовый","иск.нубук","нат.кожа/иск.кожа","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857815-03-02W.jpg","/ss-2015/857815-03-02W_02.jpg","/ss-2015/857815-03-02W_03.jpg","857815/03-02W","синий","иск.нубук","нат.кожа","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857818-06-01W.jpg","/ss-2015/857818-06-01W_02.jpg","/ss-2015/857818-06-01W_03.jpg","857818/06-01W","синий","текстиль","текстиль","36-40","нат.кожа","женские","KEDDO","туфли закрытые",
"/ss-2015/857111-02-01M.jpg","/ss-2015/857111-02-01M_02.jpg","/ss-2015/857111-02-01M_03.jpg","857111/02-01M","синий","текстиль","текстиль","40-44","текстиль","мужские","KEDDO","полуботинки",
"/ss-2015/857111-02-03M.jpg","/ss-2015/857111-02-03M_02.jpg","/ss-2015/857111-02-03M_03.jpg","857111/02-03M","серый","текстиль","текстиль","40-44","текстиль","мужские","KEDDO","полуботинки",
"/ss-2015/857118-01-01M.jpg","/ss-2015/857118-01-01M_02.jpg","/ss-2015/857118-01-01M_03.jpg","857118/01-01M","синий","текстиль","текстиль","40-44","текстиль","мужские","KEDDO","полуботинки",
"/ss-2015/857160-01-01M.jpg","/ss-2015/857160-01-01M_02.jpg","/ss-2015/857160-01-01M_03.jpg","857160/01-01M","черный","текстиль","текстиль","40-44","текстиль","мужские","KEDDO","полуботинки",
"/ss-2015/857223-01-01M.jpg","/ss-2015/857223-01-01M_02.jpg","/ss-2015/857223-01-01M_03.jpg","857223/01-01M","черный","текстиль","текстиль","40-44","текстиль","мужские","KEDDO","полуботинки",
"/ss-2015/857223-01-02M.jpg","/ss-2015/857223-01-02M_02.jpg","/ss-2015/857223-01-02M_03.jpg","857223/01-02M","синий","текстиль","текстиль","40-44","текстиль","мужские","KEDDO","полуботинки",
"/ss-2015/857223-01-03M.jpg","/ss-2015/857223-01-03M_02.jpg","/ss-2015/857223-01-03M_03.jpg","857223/01-03M","т.синий","текстиль","текстиль","40-44","текстиль","мужские","KEDDO","полуботинки",
"/ss-2015/857225-01-01M.jpg","/ss-2015/857225-01-01M_02.jpg","/ss-2015/857225-01-01M_03.jpg","857225/01-01M","т.серый","текстиль/иск.замша","текстиль","40-44","текстиль","мужские","KEDDO","полуботинки",
"/ss-2015/857225-01-02M.jpg","/ss-2015/857225-01-02M_02.jpg","/ss-2015/857225-01-02M_03.jpg","857225/01-02M","зеленый","текстиль/иск.замша","текстиль","40-44","текстиль","мужские","KEDDO","полуботинки",
"/ss-2015/857280-58-01M.jpg","/ss-2015/857280-58-01M_02.jpg","/ss-2015/857280-58-01M_03.jpg","857280/58-01M","синий/белый","текстиль","текстиль","40-44","текстиль","мужские","KEDDO","туфли закрытые",
